epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,76754.3,0.15338,0.51195,0.90381,0.99327,0.99509,0.99479,0.98918,0.17891,0.34434,0.46033,0.00999385,0.00333128,0.00999385,0.00333128,0.00999385,0.00333128,0.00999385,0.00333128
2,99516.9,0.17132,0.23656,0.89173,0.99442,0.99575,0.99481,0.99243,0.18874,0.22666,0.45987,0.0197959,0.00659864,0.0197959,0.00659864,0.0197959,0.00659864,0.0197959,0.00659864
